Time,P0PX,P0PY,P0PZ,P0RX,P0RY,P0RZ,P0LPX,P0LPY,P0LPZ,P0LRX,P0LRY,P0LRZ,P0RPX,P0RPY,P0RPZ,P0RRX,P0RRY,P0RRZ,P0M,P1PX,P1PY,P1PZ,P1RX,P1RY,P1RZ,P1LPX,P1LPY,P1LPZ,P1LRX,P1LRY,P1LRZ,P1RPX,P1RPY,P1RPZ,P1RRX,P1RRY,P1RRZ,P1M,P2PX,P2PY,P2PZ,P2RX,P2RY,P2RZ,P2LPX,P2LPY,P2LPZ,P2LRX,P2LRY,P2LRZ,P2RPX,P2RPY,P2RPZ,P2RRX,P2RRY,P2RRZ,P2M
7.908984,-11.16189,1.585153,-3.43309,19.8,359.8,0,-11.20359,1.527037,-2.912383,337.8497,291.1419,83.11316,-11.01936,1.516,-3.010499,332.6216,250.9056,276.2741,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,
7.959065,-11.16189,1.585153,-3.43309,19.8,359.8,0,-11.20359,1.527037,-2.912383,337.8497,291.1419,83.11316,-11.01936,1.516,-3.010499,332.6216,250.9056,276.2741,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,
7.975729,-11.16189,1.585153,-3.43309,19.8,359.8,0,-11.20359,1.527037,-2.912383,337.8497,291.1419,83.11316,-11.01936,1.516,-3.010499,332.6216,250.9056,276.2741,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,
7.992457,-11.16189,1.585153,-3.43309,19.8,359.8,0,-11.20359,1.527037,-2.912383,337.8497,291.1419,83.11316,-11.01936,1.516,-3.010499,332.6216,250.9056,276.2741,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,
8.009121,-11.16189,1.585153,-3.43309,19.8,359.8,0,-11.20359,1.527037,-2.912383,337.8497,291.1419,83.11316,-11.01936,1.516,-3.010499,332.6216,250.9056,276.2741,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,
8.025827,-11.16189,1.585153,-3.43309,19.8,359.8,0,-11.20359,1.527037,-2.912383,337.8497,291.1419,83.11316,-11.01936,1.516,-3.010499,332.6216,250.9056,276.2741,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,
8.042491,-11.16189,1.585153,-3.43309,19.8,359.8,0,-11.20359,1.527037,-2.912383,337.8497,291.1419,83.11316,-11.01936,1.516,-3.010499,332.6216,250.9056,276.2741,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,
8.059155,-11.16189,1.585153,-3.43309,19.8,359.8,0,-11.20359,1.527037,-2.912383,337.8497,291.1419,83.11316,-11.01936,1.516,-3.010499,332.6216,250.9056,276.2741,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,
8.075819,-11.16189,1.585153,-3.43309,19.8,359.8,0,-11.20359,1.527037,-2.912383,337.8497,291.1419,83.11316,-11.01936,1.516,-3.010499,332.6216,250.9056,276.2741,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,
8.092483,-11.16189,1.585153,-3.43309,19.8,359.8,0,-11.20359,1.527037,-2.912383,337.8497,291.1419,83.11316,-11.01936,1.516,-3.010499,332.6216,250.9056,276.2741,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,
8.109179,-11.16189,1.585153,-3.43309,19.8,359.8,0,-11.20359,1.527037,-2.912383,337.8497,291.1419,83.11316,-11.01936,1.516,-3.010499,332.6216,250.9056,276.2741,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,
8.125868,-11.16189,1.585153,-3.43309,19.8,359.8,0,-11.20359,1.527037,-2.912383,337.8497,291.1419,83.11316,-11.01936,1.516,-3.010499,332.6216,250.9056,276.2741,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,
